Gene1,Gene2,score
G67,G225,0.25269885267612546
G84,G120,0.2518249528564583
G67,G294,0.25105958362009695
G67,G143,0.24941680817895587
G253,G306,0.24780961569654755
G144,G297,0.24661919204417168
G102,G219,0.24647597206262492
G102,G105,0.24554041775862118
G69,G290,0.244701246321383
G84,G343,0.24392370433046057
G84,G295,0.24364088529059819
G382,G41,0.24011125882828888
G150,G130,0.2392289347208567
G69,G398,0.23880692044112742
G144,G65,0.23770403909988416
G144,G284,0.23530771514401821
G69,G304,0.2340144958112413
G41,G382,0.2325258575276458
G67,G237,0.22752817525792055
G47,G397,0.22750250151558854
G253,G293,0.22719845554012372
G102,G154,0.22483867767693222
G47,G163,0.22299396781897177
G84,G155,0.2223857559568266
G47,G193,0.22167869542342816
G47,G260,0.2205614905439754
G46,G356,0.21863987275582325
G144,G148,0.21648615711249058
G47,G133,0.21417963459800982
G47,G307,0.2125744387471989
G150,G62,0.211515949006949
G150,G249,0.21148836947534874
G144,G54,0.20963768693174148
G69,G47,0.20910913509738666
G84,G257,0.20857907806735784
G47,G377,0.20823812413012036
G47,G310,0.206971028818419
G47,G353,0.2047390472842498
G54,G303,0.20316194263723367
G67,G188,0.20265708831961848
G67,G201,0.20235761033130414
G253,G98,0.20014698285557003
G253,G384,0.19852123047278727
G84,G48,0.19710334327435006
G302,G393,0.1970756865562637
G67,G129,0.19634332308141297
G253,G132,0.19603016361213124
G47,G230,0.19416805797976308
G69,G85,0.19197318081272435
G253,G91,0.18918162052656048
G123,G206,0.1884007087807775
G47,G114,0.18613143701100798
G102,G110,0.18602616674013842
G84,G192,0.18511930427681292
G47,G79,0.1836855780251681
G180,G298,0.1835169339819551
G54,G385,0.1803325267303414
G302,G177,0.1792574173731982
G253,G313,0.17861126614224374
G253,G81,0.17720357415262306
G253,G161,0.17652150338647354
G102,G119,0.17534654966883353
G253,G59,0.1748955924510915
G391,G394,0.17450894248262058
G47,G275,0.17322536525536925
G47,G93,0.1731181462550011
G46,G77,0.1729698435505054
G67,G158,0.17123809372595253
G84,G122,0.17031779894550383
G80,G380,0.17031616939506777
G123,G250,0.16967436624873694
G67,G121,0.1693331420976499
G144,G329,0.1689778715672602
G84,G301,0.1676925427343024
G84,G374,0.16626702733274223
G180,G289,0.16447012486169307
G69,G299,0.16331250106272463
G382,G355,0.1617873071615759
G47,G42,0.15775180389216448
G67,G82,0.156549010186143
G47,G147,0.15592984612979238
G123,G181,0.1550626979578464
G47,G173,0.15437246516531575
G253,G100,0.15394783944257498
G253,G76,0.15295116192193448
G398,G180,0.1521084864377456
G41,G345,0.1515856536182437
G331,G67,0.14768527158026817
G41,G61,0.14760662478723827
G393,G279,0.14690835823840362
G102,G45,0.1456620015389557
G253,G210,0.14424371315002874
G41,G97,0.14394161238910325
G47,G50,0.1435976159181753
G123,G362,0.14312507711571493
G144,G335,0.1419186716552875
G84,G66,0.14186625622833615
G331,G136,0.14182715816763708
G150,G339,0.14165313701835092
G67,G124,0.13925891051760003
G144,G247,0.13874114159816842
G67,G187,0.13843666067541394
G47,G350,0.1383920499069355
G238,G199,0.13818484266922315
G144,G334,0.13817409489463417
G54,G245,0.13691293025103238
G150,G52,0.13679867640374035
G47,G37,0.13515269530502322
G47,G204,0.1348974990304967
G331,G41,0.13332616604125713
G47,G184,0.13304897641194188
G253,G35,0.1322710728291439
G144,G253,0.1318552840477047
G102,G164,0.13123441047566858
G84,G41,0.13026264369269952
G123,G398,0.1299173314960987
G150,G49,0.12950631496876994
G302,G84,0.1294217543759659
G123,G149,0.12941063132819064
G331,G228,0.12612379770349533
G67,G318,0.1260539101183635
G102,G217,0.12589598721257705
G84,G108,0.12497924999523605
G41,G351,0.12463198392977205
G80,G8,0.12366492534777257
G246,G223,0.12301717835417816
G54,G386,0.12203793188940314
G212,G251,0.12191832907569403
G212,G331,0.12172880320326879
G41,G33,0.12047293265099883
G47,G78,0.11977089936038078
G302,G128,0.11948909949576207
G144,G309,0.11916914632779213
G144,G218,0.11884859868062246
G253,G182,0.11877180785293119
G150,G38,0.11846178169948783
G115,G286,0.11821140022039844
G41,G262,0.1181539888048801
G102,G197,0.11810334907447148
G398,G322,0.11706824810756156
G80,G221,0.11702807016874667
G302,G123,0.11638498502351347
G102,G203,0.11620827938143537
G246,G86,0.1152190052611019
G253,G169,0.11419130121918783
G41,G366,0.11413305437026497
G41,G255,0.11400495008224064
G47,G269,0.11378858965102451
G150,G253,0.11297504864112953
G398,G67,0.11151173190785042
G331,G365,0.11133868738024591
G331,G383,0.11127960331884637
G67,G332,0.11106037998379872
G115,G146,0.11069350517495566
G331,G367,0.11052405768317197
G54,G19,0.11044963153219925
G54,G139,0.11032842263824295
G47,G111,0.10998828608085676
G398,G395,0.10978878024331012
G144,G277,0.10977072908914592
G262,G89,0.10949442170228724
G67,G175,0.10943507416986853
G67,G125,0.10920627177316508
G46,G344,0.10854372251384273
G253,G302,0.10848236655220467
G331,G92,0.10815454974766928
G84,G240,0.10782386867484978
G180,G270,0.10765437191308887
G67,G331,0.10753610929675284
G84,G69,0.10691633114218602
G47,G68,0.10687740489974573
G393,G302,0.10672837160674115
G212,G176,0.1063632550512634
G253,G196,0.10625285594010564
G393,G202,0.10596353320113333
G246,G167,0.1058976610103699
G150,G102,0.10576949401544467
G144,G338,0.10551977141314221
G130,G150,0.10479644489041376
G212,G174,0.10454282193361604
G382,G359,0.10428558929654447
G246,G92,0.10413815494421
G238,G364,0.10407494421975905
G69,G32,0.10346277959585734
G54,G191,0.10260791635739183
G47,G243,0.10251638114235646
G84,G265,0.1021860844531693
G144,G300,0.10186175376295406
G47,G162,0.10179427893182334
G302,G253,0.10172630641423294
G196,G263,0.10044509773305448
G102,G396,0.1002678274882244
G115,G348,0.10023146867397706
G144,G331,0.09942028871735775
G382,G292,0.09932860334263319
G331,G253,0.09876538299126225
G54,G282,0.09820703689112342
G30,G159,0.0981301888425302
G69,G57,0.09786282258282561
G80,G220,0.09660347572318137
G253,G156,0.09641976761167342
G253,G47,0.09611246879102694
G355,G387,0.09604460723451812
G19,G232,0.09587471418289228
G196,G253,0.09578726481635816
G382,G274,0.09573475618004475
G80,G157,0.09553337058776668
G19,G186,0.09486924225610711
G180,G266,0.09427687305807174
G331,G223,0.09253940592516632
G46,G199,0.09243432134117152
G102,G224,0.09163630349460306
G391,G392,0.09147844083807005
G47,G326,0.090889437045411
G253,G63,0.09084845131410689
G67,G39,0.09038553496241744
G331,G87,0.09019241487979018
G373,G315,0.09005771267170648
G80,G378,0.0900064898861431
G150,G39,0.08981652921535024
G373,G198,0.08974077317019255
G373,G336,0.0894534872949051
G54,G39,0.08934124765850751
G67,G398,0.08885153983633025
G253,G242,0.08878555137694369
G84,G169,0.08817304151387136
G150,G57,0.08794838042646519
G54,G254,0.0877808682703035
G144,G312,0.08771560952004731
G150,G31,0.08724101648339946
G1,G13,0.08723542889793605
G47,G129,0.08722156124654482
G196,G9,0.08719676762729223
G80,G256,0.08713467159579394
G1,G18,0.08654905498940706
G246,G312,0.08633660979500571
G262,G235,0.08586954970084747
G67,G105,0.08573824968227782
G212,G239,0.08570583136579257
G84,G222,0.08538780573048026
G144,G319,0.08530598839233645
G302,G199,0.08530311164043355
G115,G178,0.08518281756431728
G46,G84,0.08512555752601739
G398,G391,0.08435521549157415
G47,G69,0.08379023206728847
G102,G370,0.08373202359632138
G144,G212,0.08369657429372168
G277,G194,0.0835740684046558
G69,G156,0.08296258839061985
G391,G327,0.08284252316318748
G212,G198,0.0826720175143058
G331,G144,0.08255647406056421
G144,G341,0.08235330722674472
G393,G96,0.08217107999607792
G391,G226,0.08190571940485952
G67,G135,0.08066601922433546
G212,G373,0.08047809658977984
G84,G206,0.07965752911066562
G391,G22,0.07931980592642847
G67,G198,0.07898972446898736
G67,G268,0.07897699045621998
G253,G67,0.07890975856553736
G253,G280,0.07879415445235449
G30,G214,0.07878631158273113
G67,G144,0.0786810104180985
G373,G34,0.07864174477120923
G123,G189,0.07853583743573814
G30,G72,0.07841128255205904
G150,G336,0.07820520507338569
G180,G398,0.07811692386240078
G1,G6,0.07796704479660227
G262,G379,0.07777212254664312
G41,G115,0.07761674385830247
G67,G90,0.07750210639034909
G84,G216,0.07748761708645763
G246,G253,0.07732788468330887
G130,G253,0.07723958459709215
G54,G354,0.07701242343387327
G102,G196,0.0768065494706481
G212,G169,0.07672662712923878
G277,G267,0.07665321926019011
G47,G11,0.0765349422739565
G398,G101,0.07649688376465197
G80,G375,0.07649465915186959
G54,G195,0.07628753411659596
G115,G127,0.07605216304068206
G144,G390,0.0760025614479923
G41,G84,0.07569491793769499
G115,G325,0.07545722618079001
G19,G25,0.07518869106565637
G238,G145,0.07494649058917885
G180,G196,0.07485996401598377
G115,G215,0.07482222898522357
G212,G144,0.07477630094983573
G54,G116,0.07477427894383577
G80,G227,0.07398155803604568
G196,G381,0.07396829985475965
G196,G198,0.07369320699463106
G69,G321,0.07314869557726149
G41,G51,0.07310689827123913
G391,G399,0.07239367079599761
G196,G331,0.07233251097359833
G150,G109,0.0718999793141582
G144,G336,0.07179607012860295
G84,G39,0.07170757316282986
G123,G314,0.0715724090010462
G253,G145,0.07132150792056768
G150,G95,0.07101998429665937
G115,G137,0.07101875261574718
G54,G152,0.07082193892937562
G84,G297,0.07080635336814768
G382,G398,0.07066414374405264
G19,G26,0.0702611919237326
G19,G21,0.07019224236633992
G212,G27,0.07019059509809968
G54,G253,0.07016728612198996
G212,G324,0.07016620390588074
G123,G133,0.07007719410717568
G67,G321,0.0700389160470425
G246,G17,0.07003031893840288
G69,G192,0.06997228212850931
G102,G199,0.06995552612370606
G212,G253,0.0698827058812391
G144,G352,0.06966620030574752
G41,G150,0.06965529426428547
G69,G41,0.06956217611391591
G238,G198,0.06930347495720765
G19,G192,0.06929826974357864
G246,G131,0.06924811199646655
G19,G22,0.06914076288447674
G373,G376,0.06905409026911874
G144,G346,0.06900532979447514
G302,G198,0.06882410942444567
G373,G330,0.06851354798067644
G277,G196,0.06848474302724852
G144,G223,0.06834232731618087
G84,G316,0.06825282993966145
G253,G368,0.06814619502324551
G47,G253,0.06803749752947932
G46,G253,0.0679833706039545
G47,G273,0.06795266003527836
G144,G198,0.06793007980643334
G67,G317,0.0679261385595908
G238,G344,0.06765810034806785
G212,G372,0.06713075227482573
G277,G242,0.06687826656284293
G102,G357,0.06684365310689713
G84,G102,0.06682752121400058
G246,G234,0.06664481439584383
G102,G150,0.06637075695413118
G67,G253,0.06630708430324356
G277,G376,0.06622843562609063
G170,G207,0.06590186075676886
G41,G57,0.0658778651945516
G19,G311,0.06582198264440785
G144,G217,0.06574761417896717
G84,G62,0.06568154769680658
G144,G165,0.06560436534831568
G19,G107,0.06535948671868766
G46,G57,0.06529984762407945
G46,G241,0.06512465087815454
G359,G382,0.06512054774730028
G144,G196,0.06509154509146484
G41,G331,0.06494003902983123
G144,G315,0.06479919872637324
G196,G273,0.0647587531900077
G302,G109,0.06434979069624808
G277,G253,0.06428485414364399
G41,G67,0.06423502918072069
G54,G300,0.06421592933138753
G246,G340,0.06417112424302382
G246,G145,0.06412999694829877
G391,G156,0.06406700058545656
G67,G171,0.06403102764661285
G302,G299,0.06400193459832382
G144,G278,0.06388845869777898
G238,G338,0.06384891250297697
G238,G302,0.06359191403224598
G196,G234,0.06356818737773942
G246,G126,0.06344744036021627
G150,G84,0.06331891033689827
G302,G212,0.0631354720104618
G150,G41,0.06302812710385859
G212,G312,0.06301013788980392
G84,G253,0.06298729967778435
G54,G252,0.06235687309768724
G246,G87,0.06218600514267417
G246,G57,0.06208178323185648
G47,G196,0.06198911176990671
G30,G285,0.06196324694187778
G80,G84,0.06193748485137976
G277,G58,0.061915548258308764
G19,G28,0.06177410563016819
G373,G39,0.06165998228589045
G212,G99,0.06144087409886266
G144,G67,0.06137427738156109
G150,G315,0.06133264608011141
G47,G74,0.061288298441335064
G67,G169,0.06103691322916743
G41,G131,0.06100573091741164
G262,G170,0.06096333191078022
G355,G389,0.06058488921064718
G373,G335,0.06053627720242383
G398,G223,0.06026288234669813
G253,G334,0.060236919615712814
G238,G327,0.06009923679675346
G246,G335,0.0598917075956642
G246,G229,0.0598565942595031
G47,G188,0.05962724171416346
G123,G169,0.05950285603694348
G196,G336,0.05949206199568158
G331,G126,0.059466583473159224
G359,G196,0.05941941367172386
G102,G190,0.05941114673619402
G67,G41,0.05928673205537671
G212,G196,0.05903261571079649
G54,G228,0.0589202437758099
G238,G218,0.05879257551785366
G331,G75,0.05876148949998142
G373,G179,0.058710234894736923
G19,G20,0.05851494131592877
G54,G242,0.058375004434986194
G41,G223,0.05802151878831571
G84,G138,0.057972439583161006
G1,G2,0.05791463337759386
G355,G60,0.05780664754915056
G144,G70,0.05769470756170652
G373,G341,0.05765942655284939
G253,G267,0.057518640022525686
G80,G299,0.05749912788248818
G41,G180,0.057310228507454056
G331,G138,0.05727858463656332
G246,G71,0.057268610098167
G69,G198,0.05722852518877364
G67,G233,0.057017388485915546
G212,G71,0.05701469365216119
G359,G183,0.05697362837655645
G246,G349,0.05690839378901297
G196,G397,0.05689601388137924
G331,G312,0.05677910890731008
G67,G47,0.0567192139762947
G102,G364,0.05665007923617135
G238,G46,0.056582016163343185
G170,G294,0.05657449995484192
G102,G241,0.05645177118239844
G302,G183,0.056328726402430224
G382,G253,0.05616936697279146
G19,G54,0.05610459771692679
G54,G169,0.05601023193445015
G196,G335,0.055989077429385165
G253,G75,0.05597582088436445
G46,G305,0.05595880136493062
G1,G7,0.055844769537970296
G373,G293,0.055842957999488185
G144,G219,0.05576814269027716
G54,G261,0.055738988320389954
G1,G14,0.0557227497124871
G47,G308,0.05565297095720875
G144,G53,0.05557516832820103
G123,G371,0.05556200211921275
G277,G169,0.055238333469542794
G391,G322,0.05499179092974451
G123,G253,0.05490286105757601
G373,G144,0.05485806703953816
G355,G272,0.054631548419742465
G246,G363,0.0545127080032648
G144,G131,0.05450982072357835
G196,G144,0.054464011740317536
G84,G198,0.054179677541553894
G123,G336,0.05415856265921706
G150,G144,0.0539269714217995
G302,G169,0.0539096866117493
G373,G164,0.053795846295800635
G212,G64,0.05372331387728782
G331,G248,0.0536748943735822
G302,G344,0.05354132410942805
G238,G283,0.053521666071339236
G277,G335,0.053512494047308096
G382,G198,0.05337417166817379
G212,G380,0.05331720375271046
G46,G302,0.05330876289581307
G144,G150,0.053089147156523825
G54,G335,0.05306880689399798
G359,G219,0.053007580531045886
G253,G369,0.05297208411376608
G246,G204,0.052843601097224635
G19,G18,0.05281623806830216
G391,G397,0.05278213889424768
G180,G41,0.05275273797544874
G246,G259,0.052672312205828214
G355,G134,0.052657533886236556
G373,G169,0.05247223929239894
G212,G228,0.052451002686550674
G196,G388,0.05236617906090894
G102,G88,0.05209260863378648
G130,G333,0.051976569053239816
G144,G373,0.05197022753205627
G238,G334,0.05184624415306158
G84,G330,0.05162966942054009
G123,G66,0.05142633017666321
G54,G168,0.05133842810019311
G150,G264,0.05128939108119248
G150,G335,0.05127827754286696
G393,G357,0.05120652881320838
G212,G336,0.05115849138455933
G238,G104,0.051119840781308074
G1,G16,0.05100394869624644
G47,G299,0.050997132136750695
G1,G3,0.0509729189583559
G80,G135,0.05090521606260576
G46,G150,0.05084909289144576
G19,G113,0.0508415775690615
G41,G166,0.050836298163783905
G30,G291,0.05074480497418945
G69,G344,0.05066750690195779
G80,G302,0.05060737400003572
G373,G353,0.05058728806218496
G150,G199,0.05040743745315951
G54,G331,0.05015426056830671
G47,G67,0.050137825982016854
G277,G372,0.05000418584183522
G150,G198,0.049898141350918634
G196,G315,0.04989110671005409
G246,G390,0.049779852262561486
G54,G336,0.04977872831557517
G46,G364,0.049770266789755324
G302,G145,0.049654122188931976
G373,G84,0.04958676322276677
G253,G73,0.04949223147956547
G180,G47,0.04939524656814888
G302,G238,0.049383833628172
G253,G342,0.049198524559047135
G212,G54,0.04917089175884931
G238,G161,0.049116415346677614
G41,G69,0.04909316184343268
G46,G169,0.04908234102867898
G47,G153,0.049009254669575786
G302,G335,0.04890092128737958
G246,G198,0.048794716347343475
G373,G297,0.04878308478542612
G196,G212,0.04877744636781975
G331,G340,0.048577488207131814
G277,G246,0.0484287637734879
G253,G382,0.04838329030866913
G253,G211,0.0482892775948173
G46,G304,0.04815672621697123
G238,G244,0.048152519359779294
G19,G44,0.04809252620373443
G277,G67,0.04804878558067363
G115,G305,0.0479883823827809
G355,G361,0.04798761508900082
G253,G331,0.04794211363589651
G67,G196,0.047928812912966495
G150,G373,0.047874138317398784
G47,G126,0.04775646320359386
G46,G198,0.04775346498068882
G246,G242,0.04775085234955834
G395,G398,0.04762057303426304
G212,G306,0.04739675835357168
G46,G335,0.04734553534267549
G391,G67,0.047343929511441306
G246,G238,0.04726932272231971
G393,G198,0.04718154119357938
G170,G262,0.047119235931543206
G69,G302,0.047036446786069774
G196,G39,0.04702355586767187
G80,G393,0.04682574461240913
G54,G66,0.04682174296455158
G393,G336,0.04678647905066119
G277,G341,0.046713797041429556
G150,G398,0.04670696122842599
G84,G36,0.046647152897195863
G373,G278,0.04664322510636895
G69,G177,0.04655663782551557
G398,G86,0.04648510868585222
G355,G41,0.0464780935916909
G102,G304,0.0464175213528447
G115,G95,0.04641463244452068
G393,G262,0.04636300600735552
G69,G84,0.046261739054709844
G46,G155,0.0462330490523236
G46,G48,0.04622416235437679
G246,G336,0.04616866471783376
G373,G156,0.046134308087563
G84,G336,0.046123695463329506
G398,G288,0.046107085152088445
G54,G198,0.046102150527877306
G253,G23,0.046021355351615195
G54,G212,0.045886298227139216
G30,G322,0.045868949521245955
G47,G132,0.04579719677864563
G243,G277,0.04549386093435271
G238,G347,0.045376224992308055
G355,G386,0.0453040106677958
G382,G336,0.04526886657658137
G196,G53,0.04519053661976993
G54,G315,0.0451400607831869
G115,G208,0.04512635902148479
G238,G57,0.04508716627997719
G150,G229,0.04504117107361494
G41,G92,0.04500010068167501
G144,G168,0.04482181568599672
G212,G302,0.0447820698896049
G69,G106,0.044738335560839136
G331,G140,0.04467107203559124
G243,G321,0.0445904490954242
G47,G317,0.04456087686867061
G277,G307,0.04453879706037837
G47,G398,0.0445186971881765
G277,G142,0.044516922775877356
G246,G144,0.0444365835091006
G80,G47,0.044351360706218416
G67,G179,0.04432167165948092
G243,G47,0.04420223754201337
G180,G304,0.04412545170965601
G144,G281,0.04403181069372139
G46,G317,0.04398010047699563
G391,G235,0.04390976111203619
G391,G108,0.04386693581249962
G212,G242,0.04383754539176252
G331,G86,0.043800903188477236
G54,G144,0.04375553305750085
G84,G236,0.04364891364293257
G144,G138,0.043589042174766834
G150,G145,0.04347101862516389
G373,G138,0.04345374154552742
G46,G120,0.04336127001744797
G123,G322,0.04320836684881216
G196,G363,0.0431716191132665
G196,G105,0.0431220765265356
G331,G213,0.0430415427326214
G150,G384,0.0429849159028709
G41,G158,0.042942381415310885
G212,G29,0.042897579070130226
G47,G165,0.04283919272106723
G359,G41,0.04275690040100959
G102,G207,0.04273879184466893
G196,G278,0.042718886271785494
G1,G12,0.04266704588667562
G331,G390,0.04265757488795069
G382,G335,0.04265485857358893
G144,G276,0.04264678736328714
G67,G154,0.04261113793965704
G144,G330,0.04260639043522177
G46,G287,0.04257697568643934
G262,G41,0.04252254886491627
G373,G150,0.04251373822062263
G123,G302,0.042462313424937184
G398,G126,0.04245877034072737
G47,G246,0.04242119619132646
G395,G41,0.0423379756032113
G246,G169,0.04231396319727526
G67,G260,0.042277468411174815
G212,G245,0.04224870870488366
G395,G292,0.04224218831540588
G102,G349,0.04222894084138684
G54,G246,0.04217602321549137
G253,G321,0.042129714531449244
G277,G198,0.042071290634586145
G246,G273,0.04201522951521583
G80,G105,0.04198061400977002
G277,G86,0.04196731281828245
G67,G114,0.04191962062487392
G331,G234,0.041918243760887874
G47,G228,0.04189280983982299
G84,G150,0.04178954924863418
G47,G91,0.041776477623366864
G54,G205,0.041775850002977094
G212,G335,0.041747169964252595
G302,G287,0.041735387210645514
G302,G315,0.04170326465899521
G382,G375,0.04168844456752946
G302,G278,0.041654597530941806
G331,G169,0.04164156616025941
G150,G169,0.041576456061979405
G84,G40,0.04156608959574919
G302,G218,0.041544571026782495
G180,G321,0.04153665944913269
G262,G328,0.041516899920083554
G54,G341,0.04151349823229471
G67,G335,0.041512961957348715
G1,G94,0.04146753324290132
G41,G135,0.041455696905608935
G355,G314,0.041438164350635534
G1,G38,0.041348517001471685
G212,G393,0.041346458621371554
G302,G165,0.0412175459027985
G47,G336,0.04119090553369152
G102,G41,0.041183659426828834
G46,G336,0.04114303063373417
G196,G1,0.04102017066044022
G212,G284,0.040992573267076726
G54,G67,0.04097886759964994
G69,G150,0.04097585626347254
G238,G47,0.040885721027224375
G196,G24,0.04081220171962271
G382,G315,0.04072950184571214
G19,G118,0.04072316665798077
G115,G148,0.04070391654302147
G196,G340,0.04069050608406624
G67,G276,0.04066655468827113
G123,G47,0.04056535672860134
G47,G198,0.04052131906483224
G41,G218,0.04044840557355961
G277,G41,0.040404229435990535
G47,G92,0.040327936758475014
G277,G179,0.0403215943347463
G54,G369,0.04025657883264461
G130,G138,0.04017971937049941
G373,G196,0.04017474645320995
G46,G238,0.04014826477591507
G84,G395,0.04013534402582998
G30,G151,0.04011235736792111
G277,G349,0.04010215318174548
G196,G67,0.04000419116872023
G102,G321,0.03999457726266323
G30,G182,0.03998431659229977
G238,G120,0.039925304771518955
G393,G46,0.03989123165635651
G46,G39,0.03979342960257716
G123,G155,0.039778935582666076
G1,G5,0.03977135554802864
G331,G303,0.03973076999874116
G395,G378,0.0397153824951046
G115,G41,0.03971337081739321
G277,G212,0.039700087663109784
G150,G278,0.039648391788706994
G47,G187,0.039629801529888556
G246,G315,0.039617385274763106
G331,G336,0.03961222651948465
G19,G109,0.039549111151556945
G41,G75,0.039474632957078426
G373,G218,0.039385669531488754
G277,G167,0.03935681580478609
G355,G58,0.03935574598767752
G144,G87,0.03929537996269458
G144,G308,0.03928435612937531
G46,G316,0.03923880983790842
G46,G321,0.03921547531138936
G84,G172,0.03912258298253808
G196,G353,0.03909306036135898
G238,G315,0.03902182882604292
G41,G86,0.0389735476214664
G46,G186,0.03896354711326419
G262,G30,0.03885666578971693
G115,G145,0.038849575506354546
G67,G308,0.0387504761209615
G80,G148,0.03870610883530158
G212,G349,0.03870120342776451
G382,G87,0.03852680408847477
G102,G48,0.038459723308908386
G30,G209,0.03833788010914674
G355,G382,0.03825621470791965
G262,G253,0.0382413675987637
G212,G317,0.038191865485144305
G238,G77,0.03815842936480991
G253,G92,0.038152630720366565
G196,G150,0.03815140198743319
G373,G79,0.03812357858641045
G19,G145,0.03808946569099616
G80,G183,0.038076696234557034
G238,G288,0.03805067081268594
G253,G138,0.038022866506036035
G54,G10,0.037983400802487695
G67,G204,0.03793470641967914
G84,G369,0.03792994830035441
G331,G330,0.037897216912847476
G144,G246,0.03788778293377376
G180,G69,0.03788008563503516
G277,G274,0.03787669520443169
G393,G144,0.03776120213131895
G30,G337,0.03773622976061641
G243,G273,0.037725875066804186
G253,G276,0.03767106592078237
G243,G260,0.03766332506478477
G54,G278,0.03762965273640616
G144,G302,0.03758012050159343
G150,G330,0.037522402303992924
G115,G132,0.037516622493039026
G246,G373,0.03751222243368918
G80,G142,0.037435418520735834
G331,G230,0.03741077396224275
G262,G150,0.03731479165201905
G302,G341,0.03725871762954852
G84,G237,0.03720703290517704
G19,G56,0.03718908392824754
G41,G202,0.03711387121582346
G331,G167,0.03709479676575497
G47,G131,0.0370902999946183
G144,G126,0.037083172459492636
G277,G144,0.03703435341730893
G398,G46,0.03702944103385129
G373,G103,0.037022503363234205
G277,G278,0.037019563032594155
G382,G138,0.03696037368816828
G144,G39,0.036957914980540296
G243,G102,0.03694226342155771
G196,G169,0.03692018620386067
G395,G357,0.03690982302985385
G196,G312,0.03681248761616282
G54,G314,0.03680836619512792
G144,G129,0.03678772591143323
G130,G198,0.0367641022806563
G238,G168,0.03672570647903088
G253,G57,0.036695553891965105
G47,G161,0.03665198729480297
G150,G323,0.036636822748111024
G67,G388,0.036632852631260496
G373,G338,0.03662175825628003
G69,G191,0.03658308950852354
G196,G165,0.03656232189212516
G41,G138,0.03655305270963663
G238,G169,0.03653319439793709
G196,G398,0.0365190891980767
G46,G76,0.03650202439499021
G80,G307,0.03647047580491535
G80,G82,0.03642707717819595
G393,G253,0.03642370283712533
G84,G256,0.036371256585720074
G253,G167,0.03632059367441637
G30,G37,0.03629491409810347
G391,G398,0.03624182638100716
G170,G223,0.03623702123138169
G238,G241,0.03618210432419827
